date,cash,stock_value,total_value
2025-10-14 15:00:00,5471.82,4586.669999999999,10058.489999999998
2025-10-14 15:00:00,6872.32,3210.15,10082.47
2025-10-14 15:00:00,8381.205,1695.07,10076.275
2025-10-15 10:00:00,5424.405,4702.2083999999995,10126.613399999998
2025-10-15 11:00:00,5424.405,4659.73,10084.134999999998
2025-10-15 12:00:00,5424.405,4647.2300000000005,10071.635
2025-10-15 13:00:00,5424.405,4645.1722,10069.5772
2025-10-15 14:00:00,5424.405,4670.3504,10094.7554
2025-10-15 15:00:00,2849.6299999999997,7230.929999999999,10080.56
2025-10-16 10:00:00,2849.6299999999997,7279.184,10128.814
2025-10-16 11:00:00,2849.6299999999997,7250.210000000001,10099.84
2025-10-16 12:00:00,2849.6299999999997,7248.825000000001,10098.455
2025-10-16 13:00:00,2849.6299999999997,7239.3986,10089.0286
2025-10-16 14:00:00,2849.6299999999997,7224.6588,10074.2888
2025-10-16 15:00:00,2849.6299999999997,7227.861,10077.491
2025-10-17 10:00:00,2849.6299999999997,7189.7699999999995,10039.4
2025-10-17 11:00:00,2849.6299999999997,7210.098800000001,10059.7288
2025-10-17 12:00:00,2849.6299999999997,7235.31,10084.94
2025-10-17 13:00:00,2849.6299999999997,7237.0416000000005,10086.6716
2025-10-17 14:00:00,2849.6299999999997,7258.5554,10108.1854
2025-10-17 15:00:00,2849.6299999999997,7255.831000000001,10105.461000000001
2025-10-20 10:00:00,1903.7699999999995,8304.0754,10207.845399999998
2025-10-20 11:00:00,1903.7699999999995,8289.4628,10193.232799999998
2025-10-20 12:00:00,1903.7699999999995,8301.9192,10205.6892
2025-10-20 13:00:00,1903.7699999999995,8302.0972,10205.8672
2025-10-20 14:00:00,1903.7699999999995,8294.0,10197.77
2025-10-20 15:00:00,1383.9299999999994,8786.960000000001,10170.89
2025-10-21 10:00:00,1383.9299999999994,8722.1384,10106.0684
2025-10-21 11:00:00,1383.9299999999994,8755.693,10139.623
2025-10-21 12:00:00,1383.9299999999994,8735.538799999998,10119.468799999999
2025-10-21 13:00:00,1383.9299999999994,8742.077000000001,10126.007000000001
2025-10-21 14:00:00,1383.9299999999994,8744.2329,10128.1629
2025-10-21 15:00:00,1383.9299999999994,8738.89,10122.82
